"N","min(qtot)","q1(qtot)","med(qtot)","q3(qtot)","max(qtot)","avg(qtot)","std(qtot)","min(T)","q1(T)","med(T)","q3(T)","max(T)","avg(T)","std(T)","min(T_ini)","q1(T_ini)","med(T_ini)","q3(T_ini)","max(T_ini)","avg(T_ini)","std(T_ini)","min(dz)","q1(dz)","med(dz)","q3(dz)","max(dz)","avg(dz)","std(dz)","min(Result)","q1(Result)","med(Result)","q3(Result)","max(Result)","avg(Result)","std(Result)","min(vtkOriginalPointIds)","q1(vtkOriginalPointIds)","med(vtkOriginalPointIds)","q3(vtkOriginalPointIds)","max(vtkOriginalPointIds)","avg(vtkOriginalPointIds)","std(vtkOriginalPointIds)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","vtkValidPointMask","Time"
1,0.99148,0.99148,0.99148,0.99148,0.99148,0.99148,0,1.3882e+12,1.3882e+12,1.3882e+12,1.3882e+12,1.3882e+12,1.3882e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-5.7665e+12,-5.7665e+12,-5.7665e+12,-5.7665e+12,-5.7665e+12,-5.7665e+12,0,3.1768e+10,3.1768e+10,3.1768e+10,3.1768e+10,3.1768e+10,3.1768e+10,0,0,0,0,0,0,0,0,17290,17290,17290,17290,17290,17290,0,4816,4816,4816,4816,4816,4816,0,2962.2,2962.2,2962.2,2962.2,2962.2,2962.2,0,1,85
1,0.99146,0.99146,0.99146,0.99146,0.99146,0.99146,0,1.3885e+12,1.3885e+12,1.3885e+12,1.3885e+12,1.3885e+12,1.3885e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-5.8327e+12,-5.8327e+12,-5.8327e+12,-5.8327e+12,-5.8327e+12,-5.8327e+12,0,3.2122e+10,3.2122e+10,3.2122e+10,3.2122e+10,3.2122e+10,3.2122e+10,0,0,0,0,0,0,0,0,17289,17289,17289,17289,17289,17289,0,4814.5,4814.5,4814.5,4814.5,4814.5,4814.5,0,2961.6,2961.6,2961.6,2961.6,2961.6,2961.6,0,1,86
1,0.99145,0.99145,0.99145,0.99145,0.99145,0.99145,0,1.3889e+12,1.3889e+12,1.3889e+12,1.3889e+12,1.3889e+12,1.3889e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-5.8981e+12,-5.8981e+12,-5.8981e+12,-5.8981e+12,-5.8981e+12,-5.8981e+12,0,3.2473e+10,3.2473e+10,3.2473e+10,3.2473e+10,3.2473e+10,3.2473e+10,0,0,0,0,0,0,0,0,17289,17289,17289,17289,17289,17289,0,4813.1,4813.1,4813.1,4813.1,4813.1,4813.1,0,2961,2961,2961,2961,2961,2961,0,1,87
1,0.99143,0.99143,0.99143,0.99143,0.99143,0.99143,0,1.3892e+12,1.3892e+12,1.3892e+12,1.3892e+12,1.3892e+12,1.3892e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-5.9631e+12,-5.9631e+12,-5.9631e+12,-5.9631e+12,-5.9631e+12,-5.9631e+12,0,3.282e+10,3.282e+10,3.282e+10,3.282e+10,3.282e+10,3.282e+10,0,0,0,0,0,0,0,0,17288,17288,17288,17288,17288,17288,0,4811.8,4811.8,4811.8,4811.8,4811.8,4811.8,0,2960.4,2960.4,2960.4,2960.4,2960.4,2960.4,0,1,88
1,0.9914,0.9914,0.9914,0.9914,0.9914,0.9914,0,1.3896e+12,1.3896e+12,1.3896e+12,1.3896e+12,1.3896e+12,1.3896e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-6.0271e+12,-6.0271e+12,-6.0271e+12,-6.0271e+12,-6.0271e+12,-6.0271e+12,0,3.3164e+10,3.3164e+10,3.3164e+10,3.3164e+10,3.3164e+10,3.3164e+10,0,0,0,0,0,0,0,0,17287,17287,17287,17287,17287,17287,0,4810.4,4810.4,4810.4,4810.4,4810.4,4810.4,0,2959.8,2959.8,2959.8,2959.8,2959.8,2959.8,0,1,89
1,0.99138,0.99138,0.99138,0.99138,0.99138,0.99138,0,1.3899e+12,1.3899e+12,1.3899e+12,1.3899e+12,1.3899e+12,1.3899e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-6.0907e+12,-6.0907e+12,-6.0907e+12,-6.0907e+12,-6.0907e+12,-6.0907e+12,0,3.3505e+10,3.3505e+10,3.3505e+10,3.3505e+10,3.3505e+10,3.3505e+10,0,0,0,0,0,0,0,0,17287,17287,17287,17287,17287,17287,0,4809.1,4809.1,4809.1,4809.1,4809.1,4809.1,0,2959.3,2959.3,2959.3,2959.3,2959.3,2959.3,0,1,90
1,0.99135,0.99135,0.99135,0.99135,0.99135,0.99135,0,1.3903e+12,1.3903e+12,1.3903e+12,1.3903e+12,1.3903e+12,1.3903e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-6.1535e+12,-6.1535e+12,-6.1535e+12,-6.1535e+12,-6.1535e+12,-6.1535e+12,0,3.3843e+10,3.3843e+10,3.3843e+10,3.3843e+10,3.3843e+10,3.3843e+10,0,0,0,0,0,0,0,0,17286,17286,17286,17286,17286,17286,0,4807.9,4807.9,4807.9,4807.9,4807.9,4807.9,0,2958.7,2958.7,2958.7,2958.7,2958.7,2958.7,0,1,91
1,0.99133,0.99133,0.99133,0.99133,0.99133,0.99133,0,1.3906e+12,1.3906e+12,1.3906e+12,1.3906e+12,1.3906e+12,1.3906e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-6.2159e+12,-6.2159e+12,-6.2159e+12,-6.2159e+12,-6.2159e+12,-6.2159e+12,0,3.4178e+10,3.4178e+10,3.4178e+10,3.4178e+10,3.4178e+10,3.4178e+10,0,0,0,0,0,0,0,0,17285,17285,17285,17285,17285,17285,0,4806.6,4806.6,4806.6,4806.6,4806.6,4806.6,0,2958.1,2958.1,2958.1,2958.1,2958.1,2958.1,0,1,92
1,0.9913,0.9913,0.9913,0.9913,0.9913,0.9913,0,1.3909e+12,1.3909e+12,1.3909e+12,1.3909e+12,1.3909e+12,1.3909e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-6.2774e+12,-6.2774e+12,-6.2774e+12,-6.2774e+12,-6.2774e+12,-6.2774e+12,0,3.4511e+10,3.4511e+10,3.4511e+10,3.4511e+10,3.4511e+10,3.4511e+10,0,0,0,0,0,0,0,0,17285,17285,17285,17285,17285,17285,0,4805.4,4805.4,4805.4,4805.4,4805.4,4805.4,0,2957.5,2957.5,2957.5,2957.5,2957.5,2957.5,0,1,93
1,0.99126,0.99126,0.99126,0.99126,0.99126,0.99126,0,1.3913e+12,1.3913e+12,1.3913e+12,1.3913e+12,1.3913e+12,1.3913e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-6.3386e+12,-6.3386e+12,-6.3386e+12,-6.3386e+12,-6.3386e+12,-6.3386e+12,0,3.484e+10,3.484e+10,3.484e+10,3.484e+10,3.484e+10,3.484e+10,0,0,0,0,0,0,0,0,17284,17284,17284,17284,17284,17284,0,4804.3,4804.3,4804.3,4804.3,4804.3,4804.3,0,2956.9,2956.9,2956.9,2956.9,2956.9,2956.9,0,1,94
1,0.99123,0.99123,0.99123,0.99123,0.99123,0.99123,0,1.3916e+12,1.3916e+12,1.3916e+12,1.3916e+12,1.3916e+12,1.3916e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-6.3989e+12,-6.3989e+12,-6.3989e+12,-6.3989e+12,-6.3989e+12,-6.3989e+12,0,3.5167e+10,3.5167e+10,3.5167e+10,3.5167e+10,3.5167e+10,3.5167e+10,0,0,0,0,0,0,0,0,17284,17284,17284,17284,17284,17284,0,4803.1,4803.1,4803.1,4803.1,4803.1,4803.1,0,2956.3,2956.3,2956.3,2956.3,2956.3,2956.3,0,1,95
1,0.99119,0.99119,0.99119,0.99119,0.99119,0.99119,0,1.3919e+12,1.3919e+12,1.3919e+12,1.3919e+12,1.3919e+12,1.3919e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-6.4589e+12,-6.4589e+12,-6.4589e+12,-6.4589e+12,-6.4589e+12,-6.4589e+12,0,3.5491e+10,3.5491e+10,3.5491e+10,3.5491e+10,3.5491e+10,3.5491e+10,0,0,0,0,0,0,0,0,17283,17283,17283,17283,17283,17283,0,4802,4802,4802,4802,4802,4802,0,2955.7,2955.7,2955.7,2955.7,2955.7,2955.7,0,1,96
1,0.99115,0.99115,0.99115,0.99115,0.99115,0.99115,0,1.3922e+12,1.3922e+12,1.3922e+12,1.3922e+12,1.3922e+12,1.3922e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-6.5184e+12,-6.5184e+12,-6.5184e+12,-6.5184e+12,-6.5184e+12,-6.5184e+12,0,3.5813e+10,3.5813e+10,3.5813e+10,3.5813e+10,3.5813e+10,3.5813e+10,0,0,0,0,0,0,0,0,17283,17283,17283,17283,17283,17283,0,4800.9,4800.9,4800.9,4800.9,4800.9,4800.9,0,2955.1,2955.1,2955.1,2955.1,2955.1,2955.1,0,1,97
1,0.99111,0.99111,0.99111,0.99111,0.99111,0.99111,0,1.3925e+12,1.3925e+12,1.3925e+12,1.3925e+12,1.3925e+12,1.3925e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-6.5773e+12,-6.5773e+12,-6.5773e+12,-6.5773e+12,-6.5773e+12,-6.5773e+12,0,3.6132e+10,3.6132e+10,3.6132e+10,3.6132e+10,3.6132e+10,3.6132e+10,0,0,0,0,0,0,0,0,17282,17282,17282,17282,17282,17282,0,4799.8,4799.8,4799.8,4799.8,4799.8,4799.8,0,2954.5,2954.5,2954.5,2954.5,2954.5,2954.5,0,1,98
1,0.99107,0.99107,0.99107,0.99107,0.99107,0.99107,0,1.3929e+12,1.3929e+12,1.3929e+12,1.3929e+12,1.3929e+12,1.3929e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-6.6356e+12,-6.6356e+12,-6.6356e+12,-6.6356e+12,-6.6356e+12,-6.6356e+12,0,3.6449e+10,3.6449e+10,3.6449e+10,3.6449e+10,3.6449e+10,3.6449e+10,0,0,0,0,0,0,0,0,17282,17282,17282,17282,17282,17282,0,4798.8,4798.8,4798.8,4798.8,4798.8,4798.8,0,2953.9,2953.9,2953.9,2953.9,2953.9,2953.9,0,1,99
1,0.99102,0.99102,0.99102,0.99102,0.99102,0.99102,0,1.3932e+12,1.3932e+12,1.3932e+12,1.3932e+12,1.3932e+12,1.3932e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-6.6934e+12,-6.6934e+12,-6.6934e+12,-6.6934e+12,-6.6934e+12,-6.6934e+12,0,3.6763e+10,3.6763e+10,3.6763e+10,3.6763e+10,3.6763e+10,3.6763e+10,0,0,0,0,0,0,0,0,17281,17281,17281,17281,17281,17281,0,4797.8,4797.8,4797.8,4797.8,4797.8,4797.8,0,2953.3,2953.3,2953.3,2953.3,2953.3,2953.3,0,1,100
1,0.99097,0.99097,0.99097,0.99097,0.99097,0.99097,0,1.3935e+12,1.3935e+12,1.3935e+12,1.3935e+12,1.3935e+12,1.3935e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-6.7507e+12,-6.7507e+12,-6.7507e+12,-6.7507e+12,-6.7507e+12,-6.7507e+12,0,3.7074e+10,3.7074e+10,3.7074e+10,3.7074e+10,3.7074e+10,3.7074e+10,0,0,0,0,0,0,0,0,17281,17281,17281,17281,17281,17281,0,4796.8,4796.8,4796.8,4796.8,4796.8,4796.8,0,2952.7,2952.7,2952.7,2952.7,2952.7,2952.7,0,1,101
1,0.99093,0.99093,0.99093,0.99093,0.99093,0.99093,0,1.3938e+12,1.3938e+12,1.3938e+12,1.3938e+12,1.3938e+12,1.3938e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-6.8074e+12,-6.8074e+12,-6.8074e+12,-6.8074e+12,-6.8074e+12,-6.8074e+12,0,3.7384e+10,3.7384e+10,3.7384e+10,3.7384e+10,3.7384e+10,3.7384e+10,0,0,0,0,0,0,0,0,17280,17280,17280,17280,17280,17280,0,4795.8,4795.8,4795.8,4795.8,4795.8,4795.8,0,2952.1,2952.1,2952.1,2952.1,2952.1,2952.1,0,1,102
1,0.99087,0.99087,0.99087,0.99087,0.99087,0.99087,0,1.3941e+12,1.3941e+12,1.3941e+12,1.3941e+12,1.3941e+12,1.3941e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-6.8638e+12,-6.8638e+12,-6.8638e+12,-6.8638e+12,-6.8638e+12,-6.8638e+12,0,3.769e+10,3.769e+10,3.769e+10,3.769e+10,3.769e+10,3.769e+10,0,0,0,0,0,0,0,0,17280,17280,17280,17280,17280,17280,0,4794.8,4794.8,4794.8,4794.8,4794.8,4794.8,0,2951.5,2951.5,2951.5,2951.5,2951.5,2951.5,0,1,103
1,0.99082,0.99082,0.99082,0.99082,0.99082,0.99082,0,1.3944e+12,1.3944e+12,1.3944e+12,1.3944e+12,1.3944e+12,1.3944e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-6.9195e+12,-6.9195e+12,-6.9195e+12,-6.9195e+12,-6.9195e+12,-6.9195e+12,0,3.7995e+10,3.7995e+10,3.7995e+10,3.7995e+10,3.7995e+10,3.7995e+10,0,0,0,0,0,0,0,0,17279,17279,17279,17279,17279,17279,0,4793.9,4793.9,4793.9,4793.9,4793.9,4793.9,0,2950.9,2950.9,2950.9,2950.9,2950.9,2950.9,0,1,104
1,0.99077,0.99077,0.99077,0.99077,0.99077,0.99077,0,1.3947e+12,1.3947e+12,1.3947e+12,1.3947e+12,1.3947e+12,1.3947e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-6.9748e+12,-6.9748e+12,-6.9748e+12,-6.9748e+12,-6.9748e+12,-6.9748e+12,0,3.8297e+10,3.8297e+10,3.8297e+10,3.8297e+10,3.8297e+10,3.8297e+10,0,0,0,0,0,0,0,0,17279,17279,17279,17279,17279,17279,0,4793,4793,4793,4793,4793,4793,0,2950.2,2950.2,2950.2,2950.2,2950.2,2950.2,0,1,105
1,0.99071,0.99071,0.99071,0.99071,0.99071,0.99071,0,1.395e+12,1.395e+12,1.395e+12,1.395e+12,1.395e+12,1.395e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-7.0297e+12,-7.0297e+12,-7.0297e+12,-7.0297e+12,-7.0297e+12,-7.0297e+12,0,3.8597e+10,3.8597e+10,3.8597e+10,3.8597e+10,3.8597e+10,3.8597e+10,0,0,0,0,0,0,0,0,17278,17278,17278,17278,17278,17278,0,4792.1,4792.1,4792.1,4792.1,4792.1,4792.1,0,2949.6,2949.6,2949.6,2949.6,2949.6,2949.6,0,1,106
1,0.99065,0.99065,0.99065,0.99065,0.99065,0.99065,0,1.3953e+12,1.3953e+12,1.3953e+12,1.3953e+12,1.3953e+12,1.3953e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-7.0839e+12,-7.0839e+12,-7.0839e+12,-7.0839e+12,-7.0839e+12,-7.0839e+12,0,3.8894e+10,3.8894e+10,3.8894e+10,3.8894e+10,3.8894e+10,3.8894e+10,0,0,0,0,0,0,0,0,17278,17278,17278,17278,17278,17278,0,4791.2,4791.2,4791.2,4791.2,4791.2,4791.2,0,2949,2949,2949,2949,2949,2949,0,1,107
1,0.99059,0.99059,0.99059,0.99059,0.99059,0.99059,0,1.3956e+12,1.3956e+12,1.3956e+12,1.3956e+12,1.3956e+12,1.3956e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-7.1381e+12,-7.1381e+12,-7.1381e+12,-7.1381e+12,-7.1381e+12,-7.1381e+12,0,3.919e+10,3.919e+10,3.919e+10,3.919e+10,3.919e+10,3.919e+10,0,0,0,0,0,0,0,0,17278,17278,17278,17278,17278,17278,0,4790.4,4790.4,4790.4,4790.4,4790.4,4790.4,0,2948.3,2948.3,2948.3,2948.3,2948.3,2948.3,0,1,108
1,0.99053,0.99053,0.99053,0.99053,0.99053,0.99053,0,1.3959e+12,1.3959e+12,1.3959e+12,1.3959e+12,1.3959e+12,1.3959e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-7.1916e+12,-7.1916e+12,-7.1916e+12,-7.1916e+12,-7.1916e+12,-7.1916e+12,0,3.9483e+10,3.9483e+10,3.9483e+10,3.9483e+10,3.9483e+10,3.9483e+10,0,0,0,0,0,0,0,0,17277,17277,17277,17277,17277,17277,0,4789.6,4789.6,4789.6,4789.6,4789.6,4789.6,0,2947.7,2947.7,2947.7,2947.7,2947.7,2947.7,0,1,109
1,0.99046,0.99046,0.99046,0.99046,0.99046,0.99046,0,1.3962e+12,1.3962e+12,1.3962e+12,1.3962e+12,1.3962e+12,1.3962e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-7.2446e+12,-7.2446e+12,-7.2446e+12,-7.2446e+12,-7.2446e+12,-7.2446e+12,0,3.9774e+10,3.9774e+10,3.9774e+10,3.9774e+10,3.9774e+10,3.9774e+10,0,0,0,0,0,0,0,0,17277,17277,17277,17277,17277,17277,0,4788.7,4788.7,4788.7,4788.7,4788.7,4788.7,0,2947.1,2947.1,2947.1,2947.1,2947.1,2947.1,0,1,110
1,0.9904,0.9904,0.9904,0.9904,0.9904,0.9904,0,1.3965e+12,1.3965e+12,1.3965e+12,1.3965e+12,1.3965e+12,1.3965e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-7.2971e+12,-7.2971e+12,-7.2971e+12,-7.2971e+12,-7.2971e+12,-7.2971e+12,0,4.0063e+10,4.0063e+10,4.0063e+10,4.0063e+10,4.0063e+10,4.0063e+10,0,0,0,0,0,0,0,0,17276,17276,17276,17276,17276,17276,0,4788,4788,4788,4788,4788,4788,0,2946.4,2946.4,2946.4,2946.4,2946.4,2946.4,0,1,111
1,0.99033,0.99033,0.99033,0.99033,0.99033,0.99033,0,1.3968e+12,1.3968e+12,1.3968e+12,1.3968e+12,1.3968e+12,1.3968e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-7.3494e+12,-7.3494e+12,-7.3494e+12,-7.3494e+12,-7.3494e+12,-7.3494e+12,0,4.035e+10,4.035e+10,4.035e+10,4.035e+10,4.035e+10,4.035e+10,0,0,0,0,0,0,0,0,17276,17276,17276,17276,17276,17276,0,4787.2,4787.2,4787.2,4787.2,4787.2,4787.2,0,2945.8,2945.8,2945.8,2945.8,2945.8,2945.8,0,1,112
1,0.99026,0.99026,0.99026,0.99026,0.99026,0.99026,0,1.397e+12,1.397e+12,1.397e+12,1.397e+12,1.397e+12,1.397e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-7.401e+12,-7.401e+12,-7.401e+12,-7.401e+12,-7.401e+12,-7.401e+12,0,4.0635e+10,4.0635e+10,4.0635e+10,4.0635e+10,4.0635e+10,4.0635e+10,0,0,0,0,0,0,0,0,17276,17276,17276,17276,17276,17276,0,4786.4,4786.4,4786.4,4786.4,4786.4,4786.4,0,2945.2,2945.2,2945.2,2945.2,2945.2,2945.2,0,1,113
1,0.99019,0.99019,0.99019,0.99019,0.99019,0.99019,0,1.3973e+12,1.3973e+12,1.3973e+12,1.3973e+12,1.3973e+12,1.3973e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-7.4523e+12,-7.4523e+12,-7.4523e+12,-7.4523e+12,-7.4523e+12,-7.4523e+12,0,4.0917e+10,4.0917e+10,4.0917e+10,4.0917e+10,4.0917e+10,4.0917e+10,0,0,0,0,0,0,0,0,17275,17275,17275,17275,17275,17275,0,4785.7,4785.7,4785.7,4785.7,4785.7,4785.7,0,2944.5,2944.5,2944.5,2944.5,2944.5,2944.5,0,1,114
1,0.99012,0.99012,0.99012,0.99012,0.99012,0.99012,0,1.3976e+12,1.3976e+12,1.3976e+12,1.3976e+12,1.3976e+12,1.3976e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-7.5032e+12,-7.5032e+12,-7.5032e+12,-7.5032e+12,-7.5032e+12,-7.5032e+12,0,4.1197e+10,4.1197e+10,4.1197e+10,4.1197e+10,4.1197e+10,4.1197e+10,0,0,0,0,0,0,0,0,17275,17275,17275,17275,17275,17275,0,4784.9,4784.9,4784.9,4784.9,4784.9,4784.9,0,2943.9,2943.9,2943.9,2943.9,2943.9,2943.9,0,1,115
1,0.99004,0.99004,0.99004,0.99004,0.99004,0.99004,0,1.3979e+12,1.3979e+12,1.3979e+12,1.3979e+12,1.3979e+12,1.3979e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-7.5538e+12,-7.5538e+12,-7.5538e+12,-7.5538e+12,-7.5538e+12,-7.5538e+12,0,4.1476e+10,4.1476e+10,4.1476e+10,4.1476e+10,4.1476e+10,4.1476e+10,0,0,0,0,0,0,0,0,17275,17275,17275,17275,17275,17275,0,4784.2,4784.2,4784.2,4784.2,4784.2,4784.2,0,2943.2,2943.2,2943.2,2943.2,2943.2,2943.2,0,1,116
1,0.98997,0.98997,0.98997,0.98997,0.98997,0.98997,0,1.3982e+12,1.3982e+12,1.3982e+12,1.3982e+12,1.3982e+12,1.3982e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-7.6039e+12,-7.6039e+12,-7.6039e+12,-7.6039e+12,-7.6039e+12,-7.6039e+12,0,4.1752e+10,4.1752e+10,4.1752e+10,4.1752e+10,4.1752e+10,4.1752e+10,0,0,0,0,0,0,0,0,17274,17274,17274,17274,17274,17274,0,4783.5,4783.5,4783.5,4783.5,4783.5,4783.5,0,2942.6,2942.6,2942.6,2942.6,2942.6,2942.6,0,1,117
1,0.98989,0.98989,0.98989,0.98989,0.98989,0.98989,0,1.3984e+12,1.3984e+12,1.3984e+12,1.3984e+12,1.3984e+12,1.3984e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-7.6538e+12,-7.6538e+12,-7.6538e+12,-7.6538e+12,-7.6538e+12,-7.6538e+12,0,4.2027e+10,4.2027e+10,4.2027e+10,4.2027e+10,4.2027e+10,4.2027e+10,0,0,0,0,0,0,0,0,17274,17274,17274,17274,17274,17274,0,4782.8,4782.8,4782.8,4782.8,4782.8,4782.8,0,2941.9,2941.9,2941.9,2941.9,2941.9,2941.9,0,1,118
1,0.98981,0.98981,0.98981,0.98981,0.98981,0.98981,0,1.3987e+12,1.3987e+12,1.3987e+12,1.3987e+12,1.3987e+12,1.3987e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-7.703e+12,-7.703e+12,-7.703e+12,-7.703e+12,-7.703e+12,-7.703e+12,0,4.2299e+10,4.2299e+10,4.2299e+10,4.2299e+10,4.2299e+10,4.2299e+10,0,0,0,0,0,0,0,0,17274,17274,17274,17274,17274,17274,0,4782.1,4782.1,4782.1,4782.1,4782.1,4782.1,0,2941.2,2941.2,2941.2,2941.2,2941.2,2941.2,0,1,119
1,0.98974,0.98974,0.98974,0.98974,0.98974,0.98974,0,1.399e+12,1.399e+12,1.399e+12,1.399e+12,1.399e+12,1.399e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-7.7483e+12,-7.7483e+12,-7.7483e+12,-7.7483e+12,-7.7483e+12,-7.7483e+12,0,4.257e+10,4.257e+10,4.257e+10,4.257e+10,4.257e+10,4.257e+10,0,0,0,0,0,0,0,0,17274,17274,17274,17274,17274,17274,0,4781.5,4781.5,4781.5,4781.5,4781.5,4781.5,0,2940.6,2940.6,2940.6,2940.6,2940.6,2940.6,0,1,120
1,0.98733,0.98733,0.98733,0.98733,0.98733,0.98733,0,1.3985e+12,1.3985e+12,1.3985e+12,1.3985e+12,1.3985e+12,1.3985e+12,0,1.3561e+12,1.3561e+12,1.3561e+12,1.3561e+12,1.3561e+12,1.3561e+12,0,-7.773e+12,-7.773e+12,-7.773e+12,-7.773e+12,-7.773e+12,-7.773e+12,0,4.2378e+10,4.2378e+10,4.2378e+10,4.2378e+10,4.2378e+10,4.2378e+10,0,0,0,0,0,0,0,0,17271,17271,17271,17271,17271,17271,0,4782.3,4782.3,4782.3,4782.3,4782.3,4782.3,0,2937.7,2937.7,2937.7,2937.7,2937.7,2937.7,0,1,121
1,0.99254,0.99254,0.99254,0.99254,0.99254,0.99254,0,1.4e+12,1.4e+12,1.4e+12,1.4e+12,1.4e+12,1.4e+12,0,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,1.3564e+12,0,-7.8451e+12,-7.8451e+12,-7.8451e+12,-7.8451e+12,-7.8451e+12,-7.8451e+12,0,4.3558e+10,4.3558e+10,4.3558e+10,4.3558e+10,4.3558e+10,4.3558e+10,0,0,0,0,0,0,0,0,17277,17277,17277,17277,17277,17277,0,4781.1,4781.1,4781.1,4781.1,4781.1,4781.1,0,2940.8,2940.8,2940.8,2940.8,2940.8,2940.8,0,1,122
1,0.98673,0.98673,0.98673,0.98673,0.98673,0.98673,0,1.3991e+12,1.3991e+12,1.3991e+12,1.3991e+12,1.3991e+12,1.3991e+12,0,1.3566e+12,1.3566e+12,1.3566e+12,1.3566e+12,1.3566e+12,1.3566e+12,0,-7.8372e+12,-7.8372e+12,-7.8372e+12,-7.8372e+12,-7.8372e+12,-7.8372e+12,0,4.2565e+10,4.2565e+10,4.2565e+10,4.2565e+10,4.2565e+10,4.2565e+10,0,0,0,0,0,0,0,0,17272,17272,17272,17272,17272,17272,0,4778.5,4778.5,4778.5,4778.5,4778.5,4778.5,0,2936.8,2936.8,2936.8,2936.8,2936.8,2936.8,0,1,123
