# ts fsi iter_u iter_p
0 0.43 0.966535 0.0790698
1 0.09 0.888889 0.267778
2 0.09 0.888889 0.267778
3 0.1 0.9 0.248
4 0.11 0.909091 0.23
5 0.09 0.888889 0.266667
6 0.09 0.888889 0.266667
7 0.14 0.871071 0.228571
8 0.11 0.909091 0.221818
9 0.09 0.679778 0.261111
10 0.09 0.888889 0.256667
11 0.09 0.774778 0.254444
12 0.09 0.716778 0.256667
13 0.09 0.637222 0.257778
14 0.09 0.712111 0.257778
15 0.09 0.616444 0.258889
16 0.09 0.648222 0.26
17 0.09 0.595778 0.261111
18 0.09 0.504444 0.254444
19 0.09 0.626889 0.26
20 0.1 0.9 0.275
21 0.09 0.888889 0.291111
22 0.09 0.888889 0.281111
23 0.11 0.909091 0.246364
24 0.09 0.888889 0.286667
25 0.09 0.888889 0.278889
26 0.09 0.888889 0.273333
27 0.09 0.699333 0.274444
28 0.09 0.581 0.252222
29 0.08 0.569125 0.26125
30 0.24 0.958333 0.16
31 0.12 0.916667 0.225833
32 0.09 0.888889 0.27
33 0.09 0.888889 0.271111
34 0.27 0.962963 0.23
35 0.31 0.967742 0.226129
36 0.84 0.988095 0.144524
37 0.21 0.952381 0.194762
38 0.08 0.7445 0.2525
39 0.08 0.466125 0.24625
40 0.08 0.492375 0.25
41 0.08 0.4695 0.25125
42 0.08 0.495875 0.25125
43 0.08 0.4785 0.2525
44 0.08 0.491125 0.2525
45 0.08 0.470375 0.2525
46 0.08 0.47275 0.25375
47 0.08 0.493625 0.255
48 0.08 0.467 0.255
49 0.08 0.481 0.25625
50 0.08 0.471125 0.2575
51 0.08 0.4675 0.25875
52 0.08 0.46875 0.26125
53 0.08 0.46825 0.26125
54 0.08 0.482375 0.26125
55 0.08 0.49525 0.26125
56 0.08 0.47 0.2625
57 0.08 0.49025 0.26375
58 0.08 0.47825 0.26375
59 0.08 0.477 0.265
60 0.08 0.468875 0.26625
61 0.08 0.480625 0.26875
62 0.08 0.479 0.27
63 0.08 0.461375 0.27
64 0.08 0.4705 0.27
65 0.08 0.47425 0.27
66 0.08 0.49325 0.27
67 0.08 0.480875 0.27125
68 0.08 0.492875 0.27
69 0.08 0.49075 0.27
70 0.08 0.479 0.2725
71 0.08 0.4925 0.2725
72 0.08 0.476125 0.2725
73 0.08 0.4815 0.2725
74 0.08 0.488375 0.275
75 0.08 0.47575 0.275
76 0.08 0.473 0.27375
77 0.08 0.470375 0.27375
78 0.08 0.480375 0.27375
79 0.08 0.48575 0.275
