# ts fsi iter_u iter_p
0 0.41 0.968244 0.0997561
1 0.09 0.888889 0.462222
2 0.12 0.916667 0.36
3 0.11 0.909091 0.396364
4 0.1 0.9 0.432
5 0.11 0.909091 0.390909
6 0.1 0.9 0.444
7 0.1 0.882 0.405
8 0.1 0.9 0.412
9 0.1 0.8635 0.449
10 0.09 0.888889 0.448889
11 0.09 0.776889 0.44
12 0.09 0.681556 0.471111
13 0.09 0.695778 0.471111
14 0.09 0.582778 0.497778
15 0.09 0.623889 0.514444
16 0.09 0.577667 0.518889
17 0.09 0.612 0.461111
18 0.09 0.640778 0.444444
19 0.09 0.670111 0.457778
20 0.11 0.909091 0.395455
21 0.21 0.952381 0.214286
22 0.09 0.888889 0.442222
23 0.09 0.888889 0.443333
24 0.09 0.888889 0.436667
25 0.09 0.862778 0.414444
26 0.09 0.888889 0.408889
27 0.08 0.627625 0.43
28 0.08 0.5895 0.43125
29 0.08 0.59725 0.40875
30 0.34 0.970588 0.136765
31 0.1 0.9 0.339
32 0.09 0.888889 0.357778
33 0.09 0.888889 0.357778
34 0.19 0.947368 0.295789
35 0.5 0.98 0.1366
36 0.92 0.98913 0.0811957
37 0.14 0.928571 0.28
38 0.08 0.726 0.435
39 0.08 0.476375 0.435
40 0.08 0.47175 0.43625
41 0.08 0.476 0.43875
42 0.08 0.4855 0.44125
43 0.08 0.49175 0.44125
44 0.08 0.471375 0.445
45 0.08 0.477375 0.445
46 0.08 0.4885 0.45
47 0.08 0.47325 0.45
48 0.08 0.493 0.4525
49 0.08 0.483 0.4525
50 0.08 0.4765 0.45625
51 0.08 0.47625 0.46
52 0.08 0.486625 0.46
53 0.08 0.484625 0.46
54 0.08 0.48125 0.46125
55 0.08 0.478625 0.46375
56 0.08 0.478875 0.46625
57 0.08 0.471625 0.4725
58 0.08 0.469 0.475
59 0.08 0.484375 0.4775
60 0.08 0.467125 0.48375
61 0.08 0.4805 0.485
62 0.08 0.496625 0.4875
63 0.08 0.49325 0.4875
64 0.08 0.479 0.48875
65 0.08 0.49175 0.49
66 0.08 0.47925 0.4875
67 0.08 0.47525 0.48875
68 0.08 0.49225 0.4875
69 0.08 0.483 0.4875
70 0.08 0.492875 0.4875
71 0.08 0.481375 0.4875
72 0.08 0.4915 0.48875
73 0.08 0.465125 0.49
74 0.08 0.4885 0.4925
75 0.08 0.491625 0.49625
76 0.08 0.47125 0.49625
77 0.08 0.49375 0.49625
78 0.08 0.489125 0.49625
79 0.08 0.492875 0.49625
