# ts fsi iter_u iter_p
0 0.2 0.92245 0.101
1 0.09 0.399667 0.251111
2 0.09 0.479556 0.251111
3 0.09 0.367889 0.254444
4 0.09 0.385889 0.256667
5 0.09 0.337222 0.258889
6 0.09 0.364222 0.262222
7 0.09 0.311222 0.264444
8 0.09 0.354333 0.265556
9 0.09 0.350222 0.267778
10 0.08 0.37325 0.295
11 0.09 0.312333 0.272222
12 0.09 0.335222 0.273333
13 0.08 0.313875 0.2975
14 0.08 0.31925 0.29875
15 0.08 0.326 0.3
16 0.08 0.344 0.30125
17 0.08 0.323375 0.3025
18 0.08 0.3255 0.3075
19 0.08 0.3135 0.3075
20 0.08 0.3805 0.315
21 0.08 0.324625 0.315
22 0.08 0.32875 0.31875
23 0.08 0.352 0.31875
24 0.08 0.40475 0.31875
25 0.08 0.407125 0.32125
26 0.08 0.344125 0.32125
27 0.08 0.33375 0.32
28 0.08 0.32975 0.325
29 0.08 0.329125 0.3275
30 0.1 0.8297 0.285
31 0.08 0.332375 0.3275
32 0.08 0.34725 0.33
33 0.08 0.3275 0.32625
34 0.38 0.957868 0.127895
35 0.24 0.957333 0.165833
36 0.14 0.895571 0.254286
37 0.08 0.389125 0.3825
38 0.08 0.227875 0.33875
39 0.08 0.10525 0.33875
40 0.08 0.1055 0.34
41 0.08 0.1055 0.3425
42 0.08 0.1055 0.34625
43 0.08 0.105375 0.34625
44 0.08 0.105375 0.35
45 0.08 0.105375 0.35
46 0.08 0.105375 0.3525
47 0.08 0.105375 0.35375
48 0.08 0.105375 0.36
49 0.08 0.105375 0.36125
50 0.08 0.105375 0.3625
51 0.08 0.105375 0.36375
52 0.08 0.105375 0.36375
53 0.08 0.105375 0.36375
54 0.08 0.105375 0.365
55 0.08 0.105375 0.365
56 0.08 0.105375 0.36625
57 0.08 0.105375 0.36625
58 0.08 0.105375 0.36625
59 0.08 0.105375 0.36625
60 0.08 0.105375 0.3675
61 0.08 0.105375 0.3675
62 0.08 0.105375 0.3675
63 0.08 0.105375 0.36875
64 0.08 0.105375 0.36875
65 0.08 0.105375 0.36875
66 0.08 0.105375 0.3725
67 0.08 0.105375 0.3725
68 0.08 0.105375 0.3725
69 0.08 0.105375 0.3725
70 0.08 0.105375 0.375
71 0.08 0.105375 0.37625
72 0.08 0.105375 0.375
73 0.08 0.105375 0.375
74 0.08 0.105375 0.37625
75 0.08 0.105375 0.37875
76 0.08 0.105375 0.37875
77 0.08 0.105375 0.37875
78 0.08 0.105375 0.38125
79 0.08 0.105375 0.38125
